Time,Channel A,Channel B
(s),(mV),(V)

3.14095497,-41.38920000,2.20374200
3.14126797,-41.38920000,2.16040500
3.14158097,-41.38920000,2.16040500
3.14189397,-41.38920000,2.16040500
3.14220697,-41.38920000,2.16040500
3.14251997,-43.15928000,2.16040500
3.14283297,-41.38920000,2.16040500
3.14314597,-41.38920000,2.16040500
3.14345897,-43.15928000,2.16040500
3.14377197,-43.15928000,2.16040500
3.14408497,-43.15928000,2.16040500
3.14439797,-43.15928000,2.16040500
3.14471097,-41.38920000,2.16040500
3.14502397,-41.38920000,2.16040500
3.14533697,-41.38920000,2.16040500
3.14564997,-41.38920000,2.16040500
3.14596297,-41.38920000,2.16040500
3.14627597,-41.38920000,2.16040500
3.14658897,-41.38920000,2.16040500
3.14690197,-41.38920000,2.16040500
3.14721497,-41.38920000,2.16040500
3.14752797,-41.38920000,2.16040500
3.14784097,-41.38920000,2.16040500
3.14815397,-43.15928000,2.16040500
3.14846697,-41.38920000,2.16040500
3.14877997,-41.38920000,2.16040500
3.14909297,-41.38920000,2.16040500
3.14940597,-41.38920000,2.16040500
3.14971897,-41.38920000,2.16040500
3.15003197,-41.38920000,2.16040500
3.15034497,-41.38920000,2.16040500
3.15065797,-41.38920000,2.16040500
3.15097097,-41.38920000,2.16040500
3.15128397,-41.38920000,2.16040500
3.15159697,-41.38920000,2.16040500
3.15190997,-43.15928000,2.16040500
3.15222297,-41.38920000,2.16040500
3.15253597,-43.15928000,2.16040500
3.15284897,-41.38920000,2.16040500
3.15316197,-41.38920000,2.16040500
3.15347497,-41.38920000,2.16040500
3.15378797,-43.15928000,2.16040500
3.15410097,-43.15928000,2.16040500
3.15441397,-41.38920000,2.16040500
3.15472697,-41.38920000,2.16040500
3.15503997,-41.38920000,2.16040500
3.15535297,-41.38920000,2.16040500
3.15566597,-43.15928000,2.16040500
3.15597897,-39.61303000,2.16040500
3.15629197,-41.38920000,2.16040500
3.15660497,-41.38920000,2.16040500
3.15691797,-43.15928000,2.16040500
3.15723097,-41.38920000,2.16040500
3.15754397,-41.38920000,2.16040500
3.15785697,-41.38920000,2.16040500
3.15816997,-41.38920000,2.16040500
3.15848297,-43.15928000,2.16040500
3.15879597,-41.38920000,2.16040500
3.15910897,-43.15928000,2.16040500
3.15942197,-41.38920000,2.16040500
3.15973497,-41.38920000,2.16040500
3.16004797,-41.38920000,2.16040500
