Время;Канал A;Канал B
(с);(В);(В)

-2,68437497;0,02551347;5,79516000
-2,68124997;0,02551347;5,79516000
-2,67812497;0,02551347;5,79516000
-2,67499997;0,02551347;5,79516000
-2,67187497;0,02551347;5,79516000
-2,66874997;0,02551347;5,70879200
-2,66562497;0,02551347;5,79516000
-2,66249997;0,02551347;5,79516000
-2,65937497;0,02551347;5,79516000
-2,65624997;0,02551347;5,79516000
-2,65312497;0,02551347;5,70879200
-2,64999997;0,02551347;5,79516000
-2,64687497;0,02551347;5,79516000
-2,64374997;0,02551347;5,79516000
-2,64062497;0,02551347;5,79516000
-2,63749997;0,02551347;5,79516000
-2,63437496;0,02551347;5,70879200
-2,63124996;0,02551347;5,70879200
-2,62812496;0,02551347;5,79516000
-2,62499996;0,02551347;5,79516000
-2,62187496;0,02551347;5,79516000
-2,61874996;0,02551347;5,79516000
-2,61562496;0,02551347;5,79516000
-2,61249996;0,02551347;5,79516000
-2,60937496;0,02551347;5,79516000
-2,60624996;0,02551347;5,70879200
-2,60312496;0,02551347;5,79516000
-2,59999996;0,02551347;5,79516000
-2,59687496;0,02551347;5,79516000
-2,59374996;0,02551347;5,79516000
-2,59062496;0,02551347;5,79516000
-2,58749996;0,02551347;5,70879200
-2,58437496;0,02551347;5,79516000
-2,58124996;0,02551347;5,79516000
-2,57812496;0,02551347;5,70879200
-2,57499996;0,02551347;5,79516000
-2,57187496;0,02551347;5,79516000
-2,56874996;0,02551347;5,79516000
-2,56562496;0,02551347;5,79516000
-2,56249996;0,02551347;5,70879200
-2,55937496;0,02551347;5,79516000
-2,55624996;0,02551347;5,79516000
-2,55312496;0,02551347;5,79516000
-2,54999996;0,02551347;5,79516000
-2,54687496;0,02551347;5,70879200
-2,54374996;0,02551347;5,79516000
-2,54062496;0,02551347;5,79516000
-2,53749996;0,02551347;5,79516000
-2,53437496;0,02551347;5,79516000
-2,53124996;0,02551347;5,79516000
-2,52812496;0,02551347;5,79516000
-2,52499996;0,02551347;5,70879200
-2,52187496;0,02551347;5,79516000
-2,51874996;0,02551347;5,79516000
-2,51562496;0,02551347;5,70879200
-2,51249996;0,02551347;5,79516000
-2,50937496;0,02551347;5,79516000
-2,50624996;0,02551347;5,79516000
-2,50312496;0,02551347;5,79516000
-2,49999996;0,02551347;5,79516000
-2,49687496;0,02551347;5,70879200
-2,49374996;0,02551347;5,70879200
-2,49062496;0,02551347;5,79516000
-2,48749996;0,02551347;5,79516000
-2,48437496;0,02551347;5,79516000
-2,48124996;0,02551347;5,70879200
-2,47812496;0,02551347;5,79516000
-2,47499996;0,02551347;5,79516000
-2,47187496;0,02551347;5,79516000
-2,46874996;0,02551347;5,79516000
-2,46562496;0,02551347;5,88183200
